,wn,0,1,2,3,4,5,6
73,257.0,-0.0008782948768630582,-0.0011342502486434715,-0.0008758419121682176,-0.00049715667038744,-0.0006016616679011796,-0.00046254759651966667,-0.00058284071497072
74,258.0,-0.0008987690914874416,-0.001138312909808557,-0.0008593630153474117,-0.00049736436787496,-0.0006073573719780476,-0.0004656199327419444,-0.00056852081551257
75,259.0,-0.0009153301635468083,-0.0011412574448566642,-0.0008502410776867412,-0.000499146453725,-0.0006117398498861296,-0.00046851210101323334,-0.0005607070957421121
76,260.0,-0.0009379628943198833,-0.0011553628753683642,-0.0008286358349612353,-0.0005495241978672,-0.0006169801528103706,-0.0004879603678664444,-0.0005075328130186311
77,261.0,-0.0009499824568176167,-0.0011633317877580713,-0.0008383066741757235,-0.00057087536083022,-0.0006237172427424816,-0.0004979572511140889,-0.0005034883346465229
78,262.0,-0.0009597312398808417,-0.0011681112089827644,-0.0008487418072445411,-0.00059008488863278,-0.0006289934277788911,-0.0005069683211702889,-0.0004988332180491839
79,263.0,-0.0009287492438741416,-0.00110929262041145,-0.0008561957248158059,-0.00058263855662792,-0.0006025834676724113,-0.0005014668373762111,-0.00045005444911633773
80,264.0,-0.0009209919226371917,-0.0010825674928914143,-0.0008688387167408824,-0.0005671255795981,-0.000594851597079152,-0.0004968251390116555,-0.00044971545982515115
81,265.0,-0.0009053865624452583,-0.001047789761840607,-0.0008803005433697941,-0.00054493998565346,-0.000583556507615382,-0.0004867936947953222,-0.000440497857311045
82,266.0,-0.0008561885490376334,-0.0009834274969726213,-0.0008857542219005117,-0.0004953123490287199,-0.0005594033230093331,-0.00045127953712115556,-0.00039037445931792004
83,267.0,-0.0008535696655037083,-0.0009886609965268785,-0.0008934887380309941,-0.00049024034065956,-0.0005669205389913185,-0.0004372267351927,-0.00038138007912254
84,268.0,-0.0008476003598757666,-0.000996159149813114,-0.0009033392760221824,-0.00048344927092619993,-0.00057968613208566,-0.00042338592817770004,-0.00036725956407649
